34
   0   0  50
  12  25  38
  25  12  38
  25 -12  38
  12 -25  38
 -12 -25  38
 -25 -12  38
 -25  12  38
 -12  25  38
   0  50   0
  12  48   0
  38  38   0
  48  12   0
  50   0   0
  48 -12   0
  38 -38   0
  12 -48   0
   0 -50   0
 -12 -48   0
 -38 -38   0
 -48 -12   0
 -50   0   0
 -48  12   0
 -38  38   0
 -12  48   0
  12  25 -38
  25  12 -38
  25 -12 -38
  12 -25 -38
 -12 -25 -38
 -25 -12 -38
 -25  12 -38
 -12  25 -38
   0   0 -50
64
0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 7
0 7 8
0 8 1
1  8 9
2  1 11
3  2 13
4  3 15
5  4 17
6  5 19
7  6 21
8  7 23
1  9 10
1 10 11
2 11 12
2 12 13
3 13 14
3 14 15
4 15 16
4 16 17
5 17 18
5 18 19
6 19 20
6 20 21
7 21 22
7 22 23
8 23 24
8 24  9

33 26 25
33 27 26
33 28 27
33 29 28
33 30 29
33 31 30
33 32 31
33 25 32

32 25 9
25 26 11
26 27 13
27 28 15
28 29 17
29 30 19
30 31 21
31 32 23

25 10  9
25 11 10
26 12 11
26 13 12
27 14 13
27 15 14
28 16 15
28 17 16
29 18 17
29 19 18
30 20 19
30 21 20
31 22 21
31 23 22
32 24 23
32  9 24
