54 
-18 1 8 
-7 -1 8 
-5 -5 8 
-6 -1 8 
7 -1 8 
18 0 8 
19 1 8 
19 5 8 
15 5 8 
15 3 8 
11 3 8 
11 5 8 
-11 5 8 
-11 3 8 
-15 3 8 
-15 5 8 
-19 5 8 
-19 5 0 
-19 1 0 
-5 -5 0 
-6 -1 0 
17 0 0 
19 1 0 
3 5 0 
-3 5 0 
-15 5 6 
-11 5 6 
-11 5 4 
11 5 6 
15 5 6 
11 5 4 
-11 5 -4 
-15 5 -6 
-11 5 -6 
11 5 -4 
11 5 -6 
15 5 -6 
-18 1 -8 
-7 -1 -8 
-5 -5 -8 
-6 -1 -8 
7 -1 -8 
18 0 -8 
19 1 -8 
19 5 -8 
15 5 -8 
15 3 -8 
11 3 -8 
11 5 -8 
-11 5 -8 
-11 3 -8 
-15 3 -8 
-15 5 -8 
-19 5 -8 
68 
0 1 16 
14 15 16 
13 14 1 
12 13 1 
1 2 3 
12 1 4 
12 4 11 
11 4 10 
10 4 9 
7 8 9 
7 4 5 
7 5 6 
16 18 0 
16 17 18 
17 53 18 
53 37 18 
18 37 38 
18 38 1 
18 1 0  
1 38 19 
1 19 2 
19 38 39 
40 41 20 
20 41 4 
4 3 20 
2 19 3 
19 39 40 
3 19 40 
42 43 21 
6 5 21 
6 21 43
7 6 22 
22 43 44 
7 22 44 
16 24 53 
16 15 25 
25 26 27 
12 24 27 
12 11 24 
24 11 23 
23 11 30 
28 29 30 
8 7 29  
23 7 44  
53 32 52 
32 31 33 
31 24 49 
24 48 49 
24 23 48 
23 34 48 
34 36 35 
36 44 45 
44 43 42 
44 42 41 
44 46 45 
46 41 47 
47 41 48 
48 41 49 
41 38 49 
40 39 38 
49 38 50 
50 38 51 
51 38 37 
37 52 51 
52 37 53 
5 4 21
21 4 41
21 41 42
