213
40 44 0
40 40 4
40 32 7
40 28 8
40 12 8
40 8  8
40 0  4
40 -4 0
16 44 0   
16 40 4
16 32 7
16 28 8
16 12 8
16 8  8
16 0  4
16 -4 0
-16 44 0   
-16 40 4
-16 32 7
-16 28 8
-16 12 8
-16 8  8
-16 0  4
-16 -4 0
24 28 8    
24 12 8    
-24 28 8    
-24 12 8    
20 12 8
20 17 8
18 12 8     
20 28 8
18 23 8
18 28 8    
14 28 8    
14 20 8
14 12 8
13 12 8    
13 20 8
-1 28 8
6 20 8     
5 20 8
5 12 8
6 12 8
-1 20 8    
2 19 8
0 17 8
-1 12 8    
2 12 8
10 18 8    
9 18 8
9 14 8
10 14 8
-1 24 8    
-4 25 8
-6 25 8
-9 28 8    
-9 24 8
-4 22 8
-5 22 8
-5 19 8    
-6 19 8
-4 19 8
-4 12 8
-6 12 8
-9 17 8    
-10 17 8
-9 12 8
-10 12 8   
-9 20 8
-14 20 8   
-14 28 8
-13 20 8
-13 12 8
-14 12 8   
-18 16 8
-18 24 8
-24 24 8
-24 16 8
0 20 8     
2 20 8     
2 16 8
-12 28 8   
-12 18 8
-12 16 8
-12 12 8   
-8 24 8
-8 22 8
-6 18 8
-6 16 8
-2 28 8    
-2 24 8
-2 22 8
-2 12 8
2 28 8
2 12 8     
6 28 8
6 21 8
6 19 8
6 12 8
8 28 8     
8 21 8
8 19 8
8 12 8
12 28 8
12 12 8    
16 -4 -40  
15 -7 -37 
14 -10 -35
10 -13 -31
6 -14 -30  
-6 -14 -30
-10 -13 -31
-14 -10 -35
-15 -7 -37 
-16 -4 -40  
16 -4 -20  
15 -7 -20
14 -10 -20
10 -13 -20
6 -14 -20  
-6 -14 -20
-10 -13 -20
-14 -10 -20
-15 -7 -20 
-16 -4 -20  
16 -4 20  
15 -7 20
14 -10 20
10 -13 20
6 -14 20  
-6 -14 20
-10 -13 20
-14 -10 20
-15 -7 20 
-16 -4 20  
16 -4 40   
15 -7 37 
14 -10 35
10 -13 31
6 -14 30   
-6 -14 30
-10 -13 31
-14 -10 35
-15 -7 37 
-16 -4 40  
15 -7 40 
14 -10 40
9 -12 40
6 -13 40
-6 -13 40 
-9 -12 40
-14 -10 40
-15 -7 40
13 -4 48 
12 -7 48 
10 -9 48
6 -10 48
3 -11 48
-3 -11 48
-6 -10 48 
-10 -9 48
-12 -7 48
-13 -4 48
7 -3 54 
6 -5 55 
5 -6 56
3 -7 57
2 -7 57
-2 -7 57
-3 -7 57 
-5 -6 56
-6 -5 55
-7 -3 54
0 0 60  
0 0 0   
15 -7 -40 
14 -10 -40
9 -12 -40
6 -13 -40
-6 -13 -40 
-9 -12 -40
-14 -10 -40
-15 -7 -40
13 -4 -48 
12 -7 -48 
10 -9 -48
6 -10 -48
3 -11 -48
-3 -11 -48
-6 -10 -48 
-10 -9 -48
-12 -7 -48
-13 -4 -48
7 -3 -54 
6 -5 -55 
5 -6 -56
3 -7 -57
2 -7 -57
-2 -7 -57
-3 -7 -57 
-5 -6 -56
-6 -5 -55
-7 -3 -54
0 0 -60  
-40 44 0 
-40 40 4
-40 32 7
-40 28 8
-40 12 8
-40 8  8 
